3546,58
3725,126
2974,67
3135,128
3297,190
3472,260
2660,155
2792,206
2908,252
3067,309
3225,372
3409,441
3532,486
2152,139
2375,223
2727,360
1497,61
1701,140
1893,214
2093,289
2316,376
2544,462
2676,503
2790,558
3114,676
3362,775
1035,74
1227,146
1828,382
2029,458
2251,544
2481,627
2724,724
3041,845
3234,919
828,176
974,232
1165,303
1370,383
1575,463
1767,538
1975,615
2190,703
2417,789
2546,839
2663,880
2984,1004
3158,1073
607,537
819,616
1015,691
1221,772
1426,850
1616,926
1821,1005
2039,1091
2269,1179
2515,1271
2834,1393
2971,1445
475,884
683,964
881,1041
1083,1116
1294,1200
1485,1274
1689,1353
1903,1440
2133,1529
2376,1618
2701,1739
2806,1782
360,1171
569,1251
767,1328
973,1405
1182,1487
1376,1560
1577,1643
1799,1729
2025,1818
2273,1907
2605,1986
2771,2061
342,1438
676,1568
883,1647
1091,1725
1287,1800
1490,1879
1708,1963
1934,2053
2178,2145
2497,2267
2733,2356
2435,2413
2828,2560
499,1960
730,2048
937,2125
1135,2201
1333,2279
1553,2365
1780,2449
2025,2543
2342,2668
2497,2720
2659,2783
2837,2849
3102,2952
765,2407
1242,2520
1462,2605
1732,2707
1926,2802
2244,2925
2396,2981
2580,2986
2758,3057
3051,3167
481,2461
786,2622
1019,2570
1157,2718
1417,2718
1424,2832
1681,2817
1836,3036
2155,3158
517,2679
568,2960
822,2963
951,2964
1124,2967
1326,3051
1538,3134
1664,3178
1831,3235
2095,3313
2254,3359
2425,3396
2615,3441
2785,3478
3057,3544
603,3177
842,3182
969,3189
1089,3189
1224,3272
1442,3358
1613,3440
1809,3536
2042,3595
2205,3639
2389,3640
2734,3722
3030,3788
858,3327
1124,3488
1329,3613
1494,3714
1764,3811
1986,3892
2156,3949
2185,3772
2537,3867
2705,3906
3001,3983
648,3705
893,3712
1023,3713
1237,3818
1415,3905
1681,4040
2263,4269
2613,4188
2811,4167
518,3808
660,3834
926,3938
1146,4030
1327,4104
1822,4365
533,4004
681,4071
836,4142
1052,4239
1280,4375
1402,4519
1491,4625
695,4289
975,4414
664,4522
910,4560
1023,4616
1220,4717
1338,4777
818,4767
1097,4926
